idx,単語,target
0,こと,2
1,年,4
2,1,2
3,月,2
4,2,2
5,人,1
6,3,1
7,話題,4
8,映画,3
9,日本,4
10,女性,4
11,自分,3
12,もの,3
13,関連,4
14,ネット,1
15,記事,2
16,一,3
17,ため,2
18,結婚,4
19,時,2
20,4,1
21,公開,1
22,テレビ,4
23,円,2
24,作品,4
25,2012,2
26,仕事,3
27,今,3
28,気,2
29,賞,4
30,中,1
31,登場,4
32,世界,3
33,男性,4
34,10,3
35,ビデオ,4
36,5,2
37,情報,2
38,時間,2
39,回,4
40,サイト,1
41,声,1
42,女子,4
43,選手,1
44,チェック,4
45,前,3
46,人気,3
47,方,2
48,今回,2
49,30,2
50,ところ,2
51,度,1
52,注目,4
53,SALON,4
54,部,1
55,チョコレート,1
56,話,4
57,今年,4
58,女,3
59,東京,3
60,監督,3
61,発表,2
62,韓国,2
63,発売,2
64,日,2
65,編集,1
66,心,4
67,バレンタイン,4
68,代,4
69,恋愛,4
70,万,2
71,2011,4
72,紹介,2
73,名,2
74,20,4
75,12,3
76,掲示,1
77,出演,4
78,昨年,4
79,7,2
80,ファン,1
81,関係,3
82,売れ筋,4
83,以上,2
84,写真,1
85,放送,4
86,初,3
87,8,2
88,相手,1
89,分,2
90,番組,1
91,コメント,4
92,必要,2
93,6,2
94,会社,2
95,会,2
96,代表,4
97,他,2
98,版,2
99,2010,4
100,イベント,3
101,気持ち,4
102,11,3
103,役,3
104,とき,2
105,結果,4
106,感,3
107,ユーザー,2
108,ストーリー,4
109,％,4
110,時代,3
111,現在,2
112,公式,1
113,アップ,2
114,生活,1
115,男,3
116,主演,4
117,撮影,3
118,vol,1
119,女優,4
120,ポイント,1
121,利用,2
122,本当,3
123,手,3
124,映像,3
125,目,3
126,サッカー,4
127,そう,4
128,肌,3
129,イメージ,1
130,決定,4
131,最新,1
132,元,1
133,開催,2
134,ツイッター,4
135,機能,2
136,自身,3
137,金,2
138,40,1
139,恋,3
140,数,2
141,1,2
142,メール,1
143,質問,1
144,問題,3
145,ブログ,2
146,笑,3
147,9,2
148,人間,3
149,使用,2
150,電話,2
151,独女,4
152,後,2
153,アイテム,4
154,場合,2
155,販売,2
156,美,4
157,18,4
158,同,1
159,スポーツ,1
160,サービス,2
161,効果,3
162,予定,2
163,ソニー,3
164,上,2
165,香り,4
166,シリーズ,3
167,ほか,2
168,動画,1
169,D,2
